"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","Other Europe (3)","Accommodation","%","37.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","Other Europe (3)","Day-to-Day Expenditure","%","42.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","USA & Canada","Fare","%","31.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","USA & Canada","Prepayments","%","3.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","USA & Canada","Accommodation","%","34.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","USA & Canada","Day-to-Day Expenditure","%","30.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","Other Residencies","Fare","%","27.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","Other Residencies","Prepayments","%","2.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","Other Residencies","Accommodation","%","23.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","Other Residencies","Day-to-Day Expenditure","%","46.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","All Residencies","Fare","%","25.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","All Residencies","Prepayments","%","2.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","All Residencies","Accommodation","%","33"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","All Residencies","Day-to-Day Expenditure","%","39.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 March","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Great Britain (England, Scotland & Wales)","Fare","%","25.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Great Britain (England, Scotland & Wales)","Prepayments","%","2.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Great Britain (England, Scotland & Wales)","Accommodation","%","25.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","46.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Europe (3)","Fare","%","20.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Europe (3)","Prepayments","%","2.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Europe (3)","Accommodation","%","36.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Europe (3)","Day-to-Day Expenditure","%","40.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","USA & Canada","Fare","%","30.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","USA & Canada","Prepayments","%","3.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","USA & Canada","Accommodation","%","34.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","USA & Canada","Day-to-Day Expenditure","%","31.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Residencies","Fare","%","34.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Residencies","Prepayments","%","2.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Residencies","Accommodation","%","18.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Residencies","Day-to-Day Expenditure","%","44.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","All Residencies","Fare","%","26.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","All Residencies","Prepayments","%","2.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","All Residencies","Accommodation","%","32"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","All Residencies","Day-to-Day Expenditure","%","38.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 April","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Great Britain (England, Scotland & Wales)","Fare","%","22.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Great Britain (England, Scotland & Wales)","Prepayments","%","3.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Great Britain (England, Scotland & Wales)","Accommodation","%","31"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","42.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Europe (3)","Fare","%","19.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Europe (3)","Prepayments","%","2.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Europe (3)","Accommodation","%","35.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Europe (3)","Day-to-Day Expenditure","%","42.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","USA & Canada","Fare","%","31.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","USA & Canada","Prepayments","%","4.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","USA & Canada","Accommodation","%","34.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","USA & Canada","Day-to-Day Expenditure","%","29.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Residencies","Fare","%","28"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Residencies","Prepayments","%","3.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Residencies","Accommodation","%","26.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Residencies","Day-to-Day Expenditure","%","42.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","All Residencies","Fare","%","25.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","All Residencies","Prepayments","%","3.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","All Residencies","Accommodation","%","33.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","All Residencies","Day-to-Day Expenditure","%","36.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 May","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Great Britain (England, Scotland & Wales)","Fare","%","27.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Great Britain (England, Scotland & Wales)","Prepayments","%","3.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Great Britain (England, Scotland & Wales)","Accommodation","%","27.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","41.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","Fare","%","17.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","Prepayments","%","2.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","Accommodation","%","39.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","Day-to-Day Expenditure","%","40.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","Fare","%","34.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","Prepayments","%","3.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","Accommodation","%","30.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","Day-to-Day Expenditure","%","30.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","Fare","%","36.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","Prepayments","%","1.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","Accommodation","%","23.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","Day-to-Day Expenditure","%","38.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","Fare","%","28.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","Prepayments","%","3.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","Accommodation","%","31.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","Day-to-Day Expenditure","%","36.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","Fare","%","25.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","Prepayments","%","3.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","Accommodation","%","25.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","45.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","Fare","%","20.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","Prepayments","%","3.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","Accommodation","%","37"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","Day-to-Day Expenditure","%","39.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","Fare","%","35.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","Prepayments","%","4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","Accommodation","%","30.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","Day-to-Day Expenditure","%","29.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","Fare","%","35.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","Prepayments","%","1.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","Accommodation","%","20.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","Day-to-Day Expenditure","%","42.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","Fare","%","29.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","Prepayments","%","3.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","Accommodation","%","30.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","Day-to-Day Expenditure","%","36.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","Fare","%","22.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","Prepayments","%","4.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","Accommodation","%","22.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","50"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","Fare","%","17.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","Prepayments","%","5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","Accommodation","%","35.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","Day-to-Day Expenditure","%","41.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","Fare","%","31.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","Prepayments","%","5.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","Accommodation","%","31.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","Day-to-Day Expenditure","%","30.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","Fare","%","32.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","Prepayments","%","2.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","Accommodation","%","19.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","Day-to-Day Expenditure","%","45.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","Fare","%","25.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","Prepayments","%","4.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","Accommodation","%","30.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","Day-to-Day Expenditure","%","39.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","Fare","%","21.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","Prepayments","%","8.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","Accommodation","%","29"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","41.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","Fare","%","18.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","Prepayments","%","3.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","Accommodation","%","37.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","Day-to-Day Expenditure","%","40.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","Fare","%","31.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","Prepayments","%","5.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","Accommodation","%","34"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","Day-to-Day Expenditure","%","28.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","Fare","%","28.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","Prepayments","%","1.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","Accommodation","%","24"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","Day-to-Day Expenditure","%","46"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","Fare","%","26.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","Prepayments","%","5.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","Accommodation","%","33.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","Day-to-Day Expenditure","%","35.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","Fare","%","25.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","Prepayments","%","2.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","Accommodation","%","27.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","43.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","Fare","%","17.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","Prepayments","%","2.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","Accommodation","%","37.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","Day-to-Day Expenditure","%","42.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","Fare","%","29.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","Prepayments","%","4.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","Accommodation","%","35.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","Day-to-Day Expenditure","%","30.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","Fare","%","34.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","Prepayments","%","2.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","Accommodation","%","19.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","Day-to-Day Expenditure","%","43.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","Fare","%","25.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","Prepayments","%","3.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","Accommodation","%","33.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","Day-to-Day Expenditure","%","37.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","Fare","%","25.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","Prepayments","%","2.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","Accommodation","%","25.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","46.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","Fare","%","19.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","Prepayments","%","2.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","Accommodation","%","34.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","Day-to-Day Expenditure","%","43.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","Fare","%","32.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","Prepayments","%","3.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","Accommodation","%","32.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","Day-to-Day Expenditure","%","31.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","Fare","%","31.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","Prepayments","%","2.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","Accommodation","%","17.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","Day-to-Day Expenditure","%","48.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","Fare","%","26.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","Prepayments","%","2.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","Accommodation","%","29.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","Day-to-Day Expenditure","%","40.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","Fare","%","27.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","Prepayments","%","2.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","Accommodation","%","20.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","49.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","Fare","%","15.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","Prepayments","%","2.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","Accommodation","%","34.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","Day-to-Day Expenditure","%","47.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","Fare","%","28.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","Prepayments","%","3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","Accommodation","%","30"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","Day-to-Day Expenditure","%","38.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","Fare","%","33.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","Prepayments","%","1.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","Accommodation","%","16.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","Day-to-Day Expenditure","%","47.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","Fare","%","24.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","Prepayments","%","2.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","Accommodation","%","28.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","Day-to-Day Expenditure","%","45.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","Fare","%","26.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","Prepayments","%","2.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","Accommodation","%","20.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","50.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","Fare","%","21.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","Prepayments","%","1.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","Accommodation","%","24.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","Day-to-Day Expenditure","%","52"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","Fare","%","43.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","Prepayments","%","2.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","Accommodation","%","18"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","Day-to-Day Expenditure","%","35.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Other Residencies","Fare","%","41.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2025 January","Other Residencies","Prepayments","%","1.7"
