"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","35.5"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","56.5"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","123.9"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Fare","Euro Million","41.3"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Prepayments","Euro Million","4"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Accommodation","Euro Million","91"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Day-to-Day Expenditure","Euro Million","92.1"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","All Travel Expenditure","Euro Million","228.4"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Fare","Euro Million","72"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Prepayments","Euro Million","9.9"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Accommodation","Euro Million","86.3"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Day-to-Day Expenditure","Euro Million","71"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","All Travel Expenditure","Euro Million","239.2"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Fare","Euro Million","8.8"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Prepayments","Euro Million","0.9"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Accommodation","Euro Million","9.4"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Day-to-Day Expenditure","Euro Million","17.7"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","All Travel Expenditure","Euro Million","36.8"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Fare","Euro Million","150.9"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Prepayments","Euro Million","17.9"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Accommodation","Euro Million","222.2"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Day-to-Day Expenditure","Euro Million","237.3"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","All Travel Expenditure","Euro Million","628.3"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Fare","Euro Million","37.5"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","5.9"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","44.8"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","67.8"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","156"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Fare","Euro Million","42.5"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Prepayments","Euro Million","4.2"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Accommodation","Euro Million","77.6"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Day-to-Day Expenditure","Euro Million","96.8"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","All Travel Expenditure","Euro Million","221.1"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Fare","Euro Million","145.6"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Prepayments","Euro Million","14.9"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Accommodation","Euro Million","132.8"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Day-to-Day Expenditure","Euro Million","115.8"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","All Travel Expenditure","Euro Million","409.1"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Fare","Euro Million","14.6"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Prepayments","Euro Million","0.8"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Accommodation","Euro Million","14.4"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Day-to-Day Expenditure","Euro Million","25.1"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","All Travel Expenditure","Euro Million","54.9"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Fare","Euro Million","240.2"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Prepayments","Euro Million","25.8"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Accommodation","Euro Million","269.7"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Day-to-Day Expenditure","Euro Million","305.6"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","All Travel Expenditure","Euro Million","841.2"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Fare","Euro Million","41.1"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","3.2"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","41.3"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","85.8"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","171.3"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Fare","Euro Million","48.1"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Prepayments","Euro Million","8"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Accommodation","Euro Million","90.7"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Day-to-Day Expenditure","Euro Million","106"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","All Travel Expenditure","Euro Million","252.8"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Fare","Euro Million","144"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Prepayments","Euro Million","14.4"
